,country_name,growth,oil,rgdp60,tradeshare,yearsschool,rev_coups,assasinations
1,Argentina,"0,617645085",0,"4462,001465","0,156622976","4,989999771","0,933333337","1,933333278"
4,United States,"1,712264895",0,"9895,003906","0,160815045","8,659999847",0,"0,433333337"
8,Peru,"0,060205959",0,"2019,000244","0,324612707","3,019999981","0,266666681","0,566666663"
11,Italy,"2,932981491",0,"4564,000488","0,330021679","4,559999943","0,033333335","1,200000048"
12,Greece,"3,224050045",0,2093,"0,337879002","4,369999886","0,166666672","0,166666672"
13,France,"2,431280851",0,"5823,000488","0,339706242","4,650000095",0,"0,300000012"
14,Zaire,"-2,811944485",0,"488,9999084","0,352317631","0,540000021","0,148148149","0,055555556"
15,Uruguay,"1,025308609",0,"3967,999756","0,358856708","5,070000172",0,"0,166666672"
17,Pakistan,"2,698163033",0,638,"0,41760394","0,629999995","0,266666681","0,266666681"
18,Niger,"-2,751477957",0,"531,9998779","0,425837249","0,200000003","0,13333334",0
19,Bolivia,"0,355057806",0,"1147,999756","0,43557933","4,679999828","0,970370352","0,200000003"
23,New Zealand,"1,124131799",0,"7960,000977","0,4557693","9,550000191",0,0
24,Philippines,"1,15874064",0,1133,"0,468346566","3,769999981","0,733333349","1,033333302"
25,Finland,"2,798494339",0,"5291,001953","0,473254889","7,510000229",0,0
27,"Korea, Republic of","7,15685463",0,"904,000061","0,488949597","3,230000019","0,333333343","0,100000001"
28,Guatemala,"0,92923063",0,"1659,999756","0,509590268","1,419999957","0,540740728","2,466666698"
29,Honduras,"0,597784758",0,"1038,999878","0,517664552","1,690000057","0,266666681","0,06666667"
30,El Salvador,"-0,607556105",0,"1426,999878","0,527773321","1,700000048","0,633333325","1,733333349"
31,Chile,"1,446995378",0,"2885,000488","0,534684658","4,989999771","0,166666672","0,466666669"
32,Thailand,"4,876695156",0,943,"0,543337107","3,450000048","0,400000006","0,033333335"
33,Sweden,"1,888134241",0,"7592,002441","0,544243515","7,670000076",0,0
34,Senegal,"-0,43782407",0,"1047,000122","0,550812602","1,620000005","0,033333335","0,06666667"
35,Trinidad and Tobago,"1,120786428",0,"5627,001953","0,552722335","4,309999943","0,033333335",0
36,Ecuador,"2,388092995",0,"1460,999634","0,56064254","2,950000048","0,533333361",0
38,Switzerland,"1,421865344",0,"9408,99707","0,567130983","6,869999886",0,0
39,Austria,"2,88918519",0,"5143,000977","0,575274825","3,650000095",0,0
40,Zimbabwe,"0,838155508",0,"988,9998779","0,582814276","1,539999962","0,200000003","0,233333334"
41,Paraguay,"2,381931543",0,"1176,999878","0,603035331","3,349999905","0,06666667","0,033333335"
42,Costa Rica,"1,613696575",0,"2096,000244","0,605031252","3,920000076",0,0
43,Portugal,"3,64730978",0,1869,"0,613616884","1,940000057","0,233333334",0
44,Togo,"0,46277532",0,"366,999939","0,626079738","0,270000011","0,166666672","0,033333335"
45,Iceland,"3,012388945",0,"4963,998535","0,639484167","5,630000114",0,0
46,Israel,"2,810969353",0,"3476,999268","0,646913528","6,989999771","0,06666667","0,200000003"
48,Norway,"3,182493687",0,"5610,000488","0,681555152","5,559999943",0,0
49,Sierra Leone,"-0,339834213",0,"877,999939","0,699432909","0,529999971","0,474074066","0,033333335"
51,Ghana,"-0,963162243",0,894,"0,729232311","0,689999998","0,437037051","0,100000001"
52,Sri Lanka,"2,704598427",0,"1258,999878","0,742971599","3,430000067","0,200000003","0,200000003"
53,"Taiwan, China","6,624734402",0,1256,"0,745497823","3,319999933","0,033333335","0,06666667"
55,Papua New Guinea,"1,120371103",0,"1235,000122","0,798375845","1,129999995","0,033333335",0
58,Jamaica,"0,417790174",0,"1772,999878","0,830238342","2,460000038",0,"0,13333334"
59,Netherlands,"2,200577259",0,"6076,99707","0,834204197","5,269999981",0,0
60,Cyprus,"5,384184361",0,"2037,000366","0,979355395","4,289999962","0,100000001","0,166666672"
61,Malaysia,"4,114543915",0,"1420,000244","1,105364203","2,339999914","0,033333335","0,033333335"
62,Belgium,"2,651334524",0,"5495,001953","1,115916967","7,460000038",0,0
63,Mauritius,"3,02417779",0,"2861,999268","1,127936959","2,440000057",0,0
